,Accounting,Administrative Assistance,Architecture,Arts and Entertainment,Banking and Finance,Beauty and Wellness,Childcare,Civil Engineering,Cleaning and Sanitation,Construction,Community and Social Service,Customer Service,Dental,Driving,Education and Instruction,Electrical Engineering,Food Preparation and Service,Hospitality and Tourism,Human Resources,Information Design and Documentation,Industrial Engineering,Installation and Maintenance,Insurance,IT Operations and Helpdesk,Legal,Logistic Support,Loading and Stocking,Management,Marketing,Mathematics,Media and Communications,Medical Information,Medical Technician,Nursing,Personal Care and Home Health,Pharmacy,Physicians and Surgeons,Production and Manufacturing,Project Management,Retail,Sales,Scientific Research and Development,Security and Public Safety,Software Development,Sports,Therapy,Veterinary,Month
2020-02-29,101.78,100.79,100.09,97.69,105.9,102.73,98.62,100.23,98.45,99.76,100.0,98.13,100.66,101.14,100.63,99.97,97.58,100.13,99.78,98.43,99.95,97.61,103.54,96.8,99.76,97.24,98.98,99.37,101.08,100.53,101.66,102.85,101.46,100.81,102.9,100.6,100.74,100.08,100.13,99.63,99.84,101.32,100.25,99.74,100.73,97.02,100.0,Feb-20
2020-03-31,73.41,72.67,77.1,78.35,84.56,77.49,63.86,84.63,69.68,76.89,83.56,75.1,64.29,75.8,84.11,83.96,68.32,49.79,73.62,81.0,86.14,75.66,83.57,83.61,75.63,76.01,76.39,83.44,71.11,82.94,74.42,81.24,86.42,92.82,94.58,99.53,99.71,80.2,82.75,85.06,78.58,88.5,85.64,87.88,83.17,72.3,79.59,Mar-20
2020-04-30,57.68,51.75,53.78,51.07,60.47,46.25,33.95,67.95,53.55,60.72,65.02,56.33,35.14,77.64,67.4,68.51,51.31,32.78,48.75,60.18,70.4,58.62,66.26,67.7,53.85,52.2,61.79,66.68,45.07,61.65,52.15,51.83,61.38,76.67,84.98,83.02,81.36,63.7,62.79,63.76,50.62,67.62,72.67,70.33,53.77,48.54,65.23,Apr-20
2020-05-31,60.8,57.1,53.67,50.4,55.95,63.69,47.73,66.82,65.36,73.42,65.09,60.96,63.96,86.23,66.68,66.37,61.54,37.28,43.97,54.86,65.24,64.54,70.82,66.56,51.29,53.71,70.78,66.2,44.26,55.23,52.46,53.92,60.79,74.95,86.98,75.01,76.8,68.4,57.9,67.51,51.84,62.06,76.24,64.11,52.56,52.52,83.11,May-20
2020-06-30,67.29,69.34,56.28,53.9,62.92,76.76,63.69,70.04,82.88,86.74,72.06,72.38,90.92,101.05,69.09,67.43,73.88,48.55,50.18,58.59,68.63,76.71,76.86,69.4,55.98,61.16,87.51,72.8,48.88,57.79,57.19,67.13,70.11,80.13,95.63,76.79,79.2,77.02,60.15,79.43,64.85,70.09,87.2,65.2,60.28,57.36,100.14,Jun-20
2020-07-31,69.71,76.65,59.8,58.51,70.18,82.72,69.31,74.66,94.2,97.57,79.77,80.38,101.33,112.32,74.61,72.59,77.24,53.37,58.59,62.11,72.06,84.95,138.71,74.41,63.69,72.1,102.53,79.8,55.18,62.32,61.55,82.24,84.85,91.76,108.31,89.62,82.29,86.5,64.76,94.18,71.61,77.65,99.71,68.2,58.34,63.95,109.08,Jul-20
2020-08-31,73.93,79.8,59.02,61.3,74.25,79.87,80.34,71.89,98.42,104.49,81.15,83.83,106.62,95.99,73.66,70.32,80.72,57.04,62.77,63.93,74.14,88.92,93.67,75.24,65.58,76.65,109.45,82.72,60.59,62.73,59.53,92.17,93.59,96.53,111.4,96.86,83.12,94.44,66.57,90.26,72.74,84.27,100.8,70.4,57.17,69.57,118.36,Aug-20
2020-09-30,81.46,86.31,60.63,64.88,82.8,83.6,89.3,69.94,102.15,111.53,87.98,87.6,112.82,105.14,84.82,72.01,84.35,57.82,72.0,66.93,77.22,94.2,97.82,80.06,70.83,81.39,112.32,88.61,68.81,69.58,71.3,99.66,100.02,102.52,115.25,99.67,89.07,99.86,70.48,91.13,76.91,89.46,100.96,73.74,63.91,77.37,121.87,Sep-20
2020-10-31,89.67,89.39,62.02,68.9,90.17,82.24,86.71,69.73,103.89,114.29,92.83,92.01,112.16,115.61,83.03,74.36,85.17,63.7,77.8,71.0,77.4,98.5,99.42,80.45,77.76,85.68,124.22,91.18,74.94,74.02,73.96,106.63,107.22,110.18,120.26,90.23,94.13,107.43,73.36,93.46,81.75,95.18,101.0,79.28,68.79,87.91,121.42,Oct-20
2020-11-30,110.42,93.93,68.81,72.27,93.61,81.14,85.71,75.93,100.1,111.72,95.89,93.13,106.89,115.2,83.54,82.08,84.81,64.66,85.05,78.22,85.78,100.75,99.74,82.5,82.51,91.2,125.74,93.59,82.59,81.82,79.75,109.46,111.77,113.11,119.83,94.55,96.09,111.3,79.7,94.31,84.38,101.95,102.69,87.51,70.07,90.1,116.16,Nov-20
